idgeral,idpedido,idproduto,codprod,produto,material,cor,impressao,tipo_impressao,quant,preco,layout,amostra,imagem,layout_enviado,poster
7335,9076,1028,,Guarda-chuva Cabo Madeira,NYLON,DIVERSAS,1X1,1,60,48,0,2,,,
7336,9076,463,,NECESSAIRE IMPORTADA,ALGODAO,DIVERAS,1XO,1,200,11,0,2,,,
7337,9082,1758,,Conjunto De Caneta Roller E EsferogrÃ¡fica Em AlumÃ­,AlumÃ­nio,CHUMBO,1x1,2,90,45,3,2,,,
7338,9083,1758,,Conjunto De Caneta Roller E EsferogrÃ¡fica Em AlumÃ­,AlumÃ­nio,CHUMBO,1x1,2,20,45,3,2,,,
7339,9084,463,,squeezes coloridos,metal,diversas,1xo,1,60,29,0,2,,,
7341,9087,463,,FY001-BRL  PORTA CRACHA BRANCO LEITOSO,PlÃ¡stico,BRANCO,1x0,4,2050,4.2,1,1,,,
7342,9087,463,,CARD,Papel,,4x0,4,2050,0.675,1,1,,,
7343,9088,463,,05198 Guarda-Chuva Manual,nylon,Azul,1x1,1,30,30,0,1,,,
7344,9088,1877,,Suporte RetrÃ¡til Para Celular E Tablet,,BRANCO,1x0,1,30,29.9,1,1,,,
7347,9093,800,,AVENTAL BRIM,BRIM,CINZA,2X0,1,200,34,3,2,,,
7348,9095,463,,03006T,PlÃ¡stico,50 azul / 50 bege / 50 rosa /roxo / 50 salmÃ£o / 50,1x0,1,300,14.4,3,1,,,
7349,9096,1241,,Mochila Para Notebook Em Nylon,nylon,preta,sem,0,30,129,0,2,,,
7350,9097,862,,Guarda-Chuva ,nylon,verde,1x1,1,50,75,0,2,,,
7352,9099,463,,MOCHILA ANTI FURTO,NYLON,CINZA E PRETA,LASER,0,10,130,3,2,,,
7353,9100,463,,BLOCO SWAROWSKI,PAPEL,PRATA E PRETO,1XO UV,1,67,100,0,2,,,
7354,9101,463,,anel de celular,metal,AZUL,1XO,1,500,3.3,3,2,,,
7355,9102,463,,ecobag preta,algodao,preta,1x1,1,70,18,1,1,,,
7356,9102,463,,moleskine ,coutino e papel,preta,2xo ou 1xo,0,70,27,1,1,,,
7357,9103,463,,bolsa de viagem ,nylon,preta,1xo,4,550,87,3,1,,,
7358,9104,463,,COPO COM CANUDO,PLASTICO,VERDE CLARO,2X0,4,100,7,0,2,,,
7360,9109,463,,ESPUMANTE COM EMBALAGEM,DIVERSOS,PRETO,1X0,1,3051,43.5,3,1,,,
7361,9110,463,,pasta,nylon,cinza,aplicaÃ§Ã£o dtf,0,30,68,0,1,,,
7362,9111,463,,BO 084 - Bolsa gestante,DimensÃµes: 40 x 26 x 16 cm,TODA BRANCA,2x0,1,200,59.5,3,1,,,
7363,9114,463,,08105 - Garrafa TÃ©rmica 550ml,Inox,PRETO,1x0,2,25,38.5,3,1,,,
7364,9115,463,,08105 - Garrafa TÃ©rmica 550ml,Inox,PRETO,1x0,2,200,38.5,3,1,,,
7366,9117,1848,,Mochila De Nylon Para Notebook,Nylon ,Preta,3x0 - Digital,1,2500,89.7,0,1,,,
7367,9118,862,,Guarda-Chuva ,NYLON,VERDE,1X1,1,10,75,3,2,,,
7368,9119,1942,,Copo Inox Parede Dupla 320ml,Inox,PRETO,1x0,2,100,40,1,2,,,
7369,9120,463,,BONECO MARCADOR DE TEXTO,PALSATICO,BRANCO,1XO,4,50,12,3,2,,,
7370,9120,463,,BOLSA TERMICA,TNT,PRETA,1XO,1,100,19,3,2,,,
7371,9120,897,,ECOBAG ALGODÃO,ALGODAO,CRUA,1XO,0,50,16,1,2,,,
7372,9121,1018,,Mala De Viagem Bordo,ABS,AZUL MARINHO,2X0,4,60,285,1,1,,,
7373,9120,897,,ECOBAG ALGODÃO,ALGODAO,CRUA,3XO,1,50,16,3,2,,,
7374,9122,463,,04362 Caixa de Som MultimÃ­dia,,PRETO,2X0 DTF,4,50,97,3,2,,,
7375,9124,463,,13803N - Sacola de AlgodÃ£o,AlgodÃ£o,Bege,1x0,1,100,16.5,3,1,,,
7376,9125,463,,02388 - Bolsa TÃ©rmica 16 Litros,poliÃ©ster ,AZUL,1x0,1,30,64,0,1,,,
7377,9125,463,,02596 Bolsa TÃ©rmica 12 Litros,poliÃ©ster ,AZUL,1x0,1,50,30,0,1,,,
7378,9126,463,, 01320 Mochila De Nylon USB 21L,Nylon,PRETO,1x0,1,10,105,3,2,,,
7379,9125,463,,05067 - Caderneta Emborrachada,Emborrachada,AZUL,1x1,1,50,20,3,2,,,
7381,9129,1241,,Mochila Para Notebook Em Nylon,NYLON,PRETA,LASER,2,20,119.5,0,2,,,
7382,9129,1179,,Garrafa,PLASTICO,VERDE,2X0,4,20,29,0,2,,,
7383,9129,463,,NECESSAIRE,NYLON,PRETA,2X0,4,20,30,0,2,,,
7384,9130,463,,14280 Kit Frescobol,MADEIRA,AZUL,1x1,1,50,50,1,2,,,
7385,9131,463,,MOCHILA,NYLON,PRETA,1XO,2,70,100,0,2,,,
7386,9132,463,,copo stanley,metal,prata,1x0,2,26,275,0,1,,,
7387,9133,463,,MOLESKINE P,PAPEL,DIVERSAS,1XO,1,70,13,3,2,,,
7388,9133,463,,MOLESKINE M,PAPEL,DIVERSAS,1XO,1,50,16,3,2,,,
7389,9134,463,,KIT NOSSA BIBLIOTECA,ECOBAG+SEMENTE+CANUDO,CRUA,1XO,1,100,20.6,3,2,,,
7390,9136,1922,, Copo TÃ©rmico 500ml Com Abridor,METAL,AZUL ESCURO,1XO,2,80,37,0,1,,,
7391,9137,463,,Mochila 11329,Nylon,AZUL,1x0 DTF,4,75,82,3,2,,,
7392,9138,1922,, Copo TÃ©rmico 500ml Com Abridor,METAL,PRETA,1XO,1,40,37,3,2,,,
7393,9139,463,,09824 - Chaveiro Metal Abridor,Metal,VERDE,1x0,2,100,3.99,3,2,,,
7394,9141,1907,,Mochila Saco Em Nylon,Nylon,VERDE,1x2 cores,1,500,17.9,1,2,,,
7395,9142,1196,,Caneca CerÃ¢mica ,,PRETA,1x0,1,50,31,1,2,,,
7396,9143,463,,03006T Copo PlÃ¡stico 350ml,PlÃ¡stico ,20 de cada COR,1x0 DTF,4,120,18,3,2,,,
7397,9144,463,,NECESSAIRE ,NYLON,CINZA,4XO,1,2000,45,3,2,,,
7398,9144,807,,MOCHILA NYLON,NYLON,PRETA,TRANSFER,0,2000,9.3,3,2,,,
7399,9145,463,,sacola termica,tnt,preta,1x0,1,47,15,3,2,,,
7400,9146,463,,KIT TOALHA ALGODAO EGIPCIO,TOALHA,BRANCA,2X0,4,20,195,0,2,,,
7401,9148,1018,,Mala De Viagem Bordo,abs,azul marinho,2xo,4,20,320,3,2,,,
7402,9149,1018,,Mala De Viagem Bordo,ABS,VERDE,2XO,4,10,300,0,2,,,
7403,9150,222,,Touca RN,ribana,branca,3xo,1,400,7,3,2,,,
7404,9152,463,,05048 Fone de Ouvido Bluetooth Touch com Case Carr,PlÃ¡stico,preto,UV,1,75,62,3,1,,,
7405,9153,463,,02090 Garrafa TÃ©rmica Inox 1 Litro,Inox,AZUL,1x0,2,70,70,3,1,,,
7406,9153,463,,02090 Garrafa TÃ©rmica Inox 1 Litro,iNOX,PRETO,1X0,2,30,70,3,1,,,
7407,9154,463,,GUARDA SOL,NYLON ,VERDE,2X2,1,130,72,0,2,,,
7408,9155,463,,garrafa termica,metal,preta,1xo,2,140,71,0,1,,,
7409,9155,463,,kit caderno e caneta,papel e metal,preta,1x1x1- 3 peÃ§as ,1,140,61,0,1,,,
7410,9156,862,,Guarda-Chuva ,NYLON ,VERDE,1X1,0,5,75,3,2,,,
7411,9158,1018,,Mala De Viagem Bordo,ABS,AZUL MARINHO,4X1,4,47,320,0,1,,,
7412,9159,463,,GA 7200 - Garrafa TÃ©rmica de 500ml,inox,BRANCA,1x0,2,65,73,3,1,,,
7413,9161,1943,,Sacola De AlgodÃ£o,AlgodÃ£o,bege,2x0,1,200,21.5,3,1,,,
7414,9162,210,,Toalha Banho Com Capuz,toalha,branca,2x0,1,200,23,3,2,,,
7415,9164,463,,chaveiro canivete,metal,prata,1xo,2,1000,4.5,1,1,,,
7416,9166,1922,, Copo TÃ©rmico 500ml Com Abridor,metal,AZUL ESCURO,1x0,1,23,47,1,2,,,
7418,9168,463,,bolsa termica,nylon,preta,2x0,4,30,65,0,2,,,
7419,9169,1942,,Copo Inox Parede Dupla 320ml,inox,Branca,1x0,2,50,49.5,1,1,,,
7420,9169,897,,ECOBAG ALGODÃO,AlgodÃ£o,Natural,3x0,1,100,22,1,1,,,
7421,9169,1629,,Bolsa TÃ©rmica Em Nylon,Nylon,VERDE,1x0,1,80,62,1,2,,,
7422,9170,463,,CADERNO E CANETA DE CORTIÃA,CORTIÃA E PAPEL,KRAFT E CINZA,1X0,1,40,37,0,2,,,
7423,9171,1241,,Mochila Para Notebook Em Nylon,nylon,preta,1x0,2,50,120,3,2,,,
7424,9172,1888,,Mochila De Nylon USB 21L,NYLON,PRETA,4X0,4,60,83,1,2,,,
7425,9173,1241,,Mochila Para Notebook Em Nylon,NYLON,PRETA,4XO,4,30,130,1,2,,,
7426,9174,463,,kit nossa biblioteca,ecobag+canudo+semente,crua,1xo,1,50,20.6,3,2,,,
7427,9175,1018,,Mala De Viagem Bordo,ABS,VERDE,2X0,4,365,280,3,2,,,
7428,9176,463,,kit caneta e chaveiro,metl e papel,preta,uv e laser,0,25,55,1,2,,,
7429,9177,463,,caneta  12638,plastico,VERDE,uv,0,1200,2,1,2,,,
7436,9181,897,,ECOBAG ALGODÃO,ALGODAO,CRUA,1X1,1,454,13,3,1,,,
7437,9181,463,,COPO COM CANUDO,PLASTICO,ROXA,1XO,1,500,7,3,1,,,
7438,9181,463,,TOALHA REFRESCANTE,TOALHA,BRANCA,1XO,1,200,22,3,2,,,
7439,9181,463,,CAPA DE CELULAR,PLASTICO ,TRANSPARENTE E PRETO,1XO,1,500,7,3,2,,,
7440,9181,463,,OCULOS,PLASTICO,ROXO,1X1,1,300,13,3,2,,,
7441,9181,463,,GARRAFA/SQUEEZE,PLASTICO,ROXA,1XO,1,600,13,3,1,,,
7442,9183,463,,PASTA COURINO,COURINO,PRETA,1XO,1,50,78,1,2,,,
7443,9184,463,,FONE BLUETOOTH ,PLASTICO,PRETO,SEM,0,10,60,0,2,,,
7444,9184,463,,GARRAFA 900ML,METAL,DIVERSAS,SEM,0,20,30,0,2,,,
7445,9184,463,,COPO TERMICO,METAL,5 PRETAS E 5 ROSA,SEM,0,10,62,0,2,,,
7446,9184,463,,KIT CHURRASCO,MADEIRA,PRETO E MADEIRA,SEM ,0,3,110,0,2,,,
7447,9184,1028,,Guarda-chuva Cabo Madeira,NYLON,DIVERSAS,1X0,0,20,45,3,2,,,
7448,9184,463,,NECESSAIRE,NYLON,5 PRETAS/5 AZUL E 5 CINZA,SEM,0,15,30,0,2,,,
7449,9184,463,,CAIXA DE SOM,TECIDO E METAL,PRETA,SEM,0,5,65,0,2,,,
7450,9184,463,,FONE DE OUVIDO,PLAATICO,PRETA,SEM,0,5,60,0,2,,,
7451,9184,463,,FONE GRANDE,PLASTICO E METAL,PRETO,SEM,0,5,100,0,2,,,
7452,9184,463,,BOLSA TERMICA,NYLON,PRETA /LILAS/AZUL E VERDE,SEM,0,20,30,0,2,,,
7453,9184,463,,SHAKER,PLASTICO,PRETA,SEM,0,15,20,0,2,,,
7454,9184,463,,PORTA JOIAS,NYLON,BEGE,SEM,0,10,25,0,2,,,
7455,9184,463,,CARREGADOR,PLASTICO,10,SEM,0,10,55,0,2,,,
7456,9184,463,,KIT VINHO /BARALHO,DIVERSOS,PRETO,SEM,0,5,60,0,2,,,
7457,9184,463,,GARRAFA,METAL,DIVERAS,SEM,0,20,60,0,2,,,);
