idgeral,idpedido,idproduto,codprod,produto,material,cor,impressao,tipo_impressao,quant,preco,layout,amostra,imagem,layout_enviado,poster
7119,8917,862,,Guarda-Chuva ,nylon,verde,1x1,1,15,75,3,2,,,
7120,8919,51,,Squeeze PlÃ¡sstico 500ml,PLASTICO ,ROXO,1XO,1,1500,4.701,0,1,,,
7121,8919,463,,GARRAFA PLASTICA,PLASTICO,LILAS,1XO,1,400,22.5,0,1,,,
7122,8919,884,,COPO ACRÃLICO,PLASTICO,ROXA,1XO,1,1500,3.5,0,1,,,
7123,8919,463,,bloco post it capa transparente,plastico,transparente,1x0,1,1500,4.3,0,1,,,
7124,8919,463,,sacola termica,tnt,preta,1xo,4,700,17,0,2,,,
7125,8919,463,,garrafa termica,metal,preta,1xo,1,100,29.9,0,1,,,
7126,8920,463,,KIT GESTANTE,DIVERSOS,DIVERSOS,2XO,1,200,75,0,2,,,
7127,8921,1514,,Sacola Tipo Mochila Nylon,Nylon,VERDE - 109,1x1,1,100,14,3,2,,,
7128,8922,222,,Touca RN,ribana,branca,3x0,1,400,7,3,2,,,
7129,8923,463,,manta,soft,preta,sem,0,1000,18,0,2,,,
7130,8926,463,,BABEIRO BANDANA,MALHA,VERDE,1XO,1,300,11.18,3,2,,,
7131,8926,463,,BOLSA GESTANTE,NYLON,BRANCA E VERDE,2XO,1,150,49,3,2,,,
7132,8927,210,,Toalha Banho Com Capuz,TOALHA,BRANCA,2X0,1,200,22,3,2,,,
7133,8928,463,,KIT CAMINHADA,DIVERSOS,PRETO E BRANCO,A DEFINIR,0,50,85,0,2,,,
7134,8929,862,,Guarda-Chuva ,NYLON,VERDE,1XO,1,50,40,3,2,,,
7135,8930,37,,Cachecol,soft,100 azul e 100 cinza ,1x1,1,200,15,1,2,,,
7136,8931,862,,Guarda-Chuva ,nylon,verde,1x1,1,10,75,1,2,,,
7137,8932,807,,MOCHILA NYLON,NYLON,PRETA,4XO,1,500,9.3,3,2,,,
7138,8932,836,,CANETA METÃLICA,METAL,PRETA,UV,0,500,3.95,3,2,,,
7139,8932,463,,NECESSAIRE NOVA XBZ,NYLON,PRETA,DTF,0,400,40,3,1,,,
7140,8933,463,,kit de pratos,porcelana,branca,sem,0,45,85,0,2,,,
7141,8934,803,,SACOLA TNT,tnt,verde,1xo,1,1000,4.2,1,2,,,
7142,8935,142,,MANTA,SOFT,BEGE,1X1,1,200,22,1,1,,,
7143,8936,142,,Porta Retrato,METAL,PRATA,1X1,2,450,24.5,1,1,,,
7144,8937,463,,flanela,flanela,branca,sem,0,500,4.5,3,2,,,
7145,8938,1358,,MOCHILA ANTI-FURTO,nylon,azul,1xo,2,40,100,3,2,,,
7146,8938,463,,fone de ouvido,plastico,preta,sem ,0,30,55,0,2,,,
7147,8939,463,,MCHILA IMPERMEAVEL,NYLON,CINZA,1XO,2,50,257,0,1,,,
7148,8939,463,,GUARDA CHUVA INVERTIDO,NYLON,PRETA,1X1,1,50,80,0,1,,,
